Date,Hour,Daily Peak Probability
1/1/2008,1,0.041666666666666664
1/1/2008,2,0.041666666666666664
1/1/2008,3,0.041666666666666664
1/1/2008,4,0.041666666666666664
1/1/2008,5,0.041666666666666664
1/1/2008,6,0.041666666666666664
1/1/2008,7,0.08947368421052632
1/1/2008,8,0.5736842105263158
1/1/2008,9,0.015789473684210527
1/1/2008,10,0.041666666666666664
1/1/2008,11,0.005263157894736842
1/1/2008,12,0.005263157894736842
1/1/2008,13,0.041666666666666664
1/1/2008,14,0.041666666666666664
1/1/2008,15,0.041666666666666664
1/1/2008,16,0.041666666666666664
1/1/2008,17,0.041666666666666664
1/1/2008,18,0.041666666666666664
1/1/2008,19,0.1
1/1/2008,20,0.11578947368421053
1/1/2008,21,0.09473684210526316
1/1/2008,22,0.041666666666666664
1/1/2008,23,0.041666666666666664
1/1/2008,24,0.041666666666666664
1/2/2008,1,0.041666666666666664
1/2/2008,2,0.041666666666666664
1/2/2008,3,0.041666666666666664
1/2/2008,4,0.041666666666666664
1/2/2008,5,0.041666666666666664
1/2/2008,6,0.041666666666666664
1/2/2008,7,0.08947368421052632
1/2/2008,8,0.5736842105263158
1/2/2008,9,0.015789473684210527
1/2/2008,10,0.041666666666666664
1/2/2008,11,0.005263157894736842
1/2/2008,12,0.005263157894736842
1/2/2008,13,0.041666666666666664
1/2/2008,14,0.041666666666666664
1/2/2008,15,0.041666666666666664
1/2/2008,16,0.041666666666666664
1/2/2008,17,0.041666666666666664
1/2/2008,18,0.041666666666666664
1/2/2008,19,0.1
1/2/2008,20,0.11578947368421053
1/2/2008,21,0.09473684210526316
1/2/2008,22,0.041666666666666664
1/2/2008,23,0.041666666666666664
1/2/2008,24,0.041666666666666664
1/3/2008,1,0.041666666666666664
1/3/2008,2,0.041666666666666664
1/3/2008,3,0.041666666666666664
1/3/2008,4,0.041666666666666664
1/3/2008,5,0.041666666666666664
1/3/2008,6,0.041666666666666664
1/3/2008,7,0.08947368421052632
1/3/2008,8,0.5736842105263158
1/3/2008,9,0.015789473684210527
1/3/2008,10,0.041666666666666664
1/3/2008,11,0.005263157894736842
1/3/2008,12,0.005263157894736842
1/3/2008,13,0.041666666666666664
1/3/2008,14,0.041666666666666664
1/3/2008,15,0.041666666666666664
1/3/2008,16,0.041666666666666664
1/3/2008,17,0.041666666666666664
1/3/2008,18,0.041666666666666664
1/3/2008,19,0.1
1/3/2008,20,0.11578947368421053
1/3/2008,21,0.09473684210526316
1/3/2008,22,0.041666666666666664
1/3/2008,23,0.041666666666666664
1/3/2008,24,0.041666666666666664
1/4/2008,1,0.041666666666666664
1/4/2008,2,0.041666666666666664
1/4/2008,3,0.041666666666666664
1/4/2008,4,0.041666666666666664
1/4/2008,5,0.041666666666666664
1/4/2008,6,0.041666666666666664
1/4/2008,7,0.08947368421052632
1/4/2008,8,0.5736842105263158
1/4/2008,9,0.015789473684210527
1/4/2008,10,0.041666666666666664
1/4/2008,11,0.005263157894736842
1/4/2008,12,0.005263157894736842
1/4/2008,13,0.041666666666666664
1/4/2008,14,0.041666666666666664
1/4/2008,15,0.041666666666666664
1/4/2008,16,0.041666666666666664
1/4/2008,17,0.041666666666666664
1/4/2008,18,0.041666666666666664
1/4/2008,19,0.1
1/4/2008,20,0.11578947368421053
1/4/2008,21,0.09473684210526316
1/4/2008,22,0.041666666666666664
1/4/2008,23,0.041666666666666664
1/4/2008,24,0.041666666666666664
1/5/2008,1,0.041666666666666664
1/5/2008,2,0.041666666666666664
1/5/2008,3,0.041666666666666664
1/5/2008,4,0.041666666666666664
1/5/2008,5,0.041666666666666664
1/5/2008,6,0.041666666666666664
1/5/2008,7,0.041666666666666664
1/5/2008,8,0.05
1/5/2008,9,0.4125
1/5/2008,10,0.1375
1/5/2008,11,0.025
1/5/2008,12,0.0125
